"COUNTRY","ISO COUNTRY CODE (ISO 3166)","MIC","OPERATING MIC","O/S","NAME-INSTITUTION DESCRIPTION","ACRONYM","CITY","WEBSITE","STATUS DATE","STATUS","CREATION DATE","COMMENTS"
"UNITED KINGDOM","GB","DRSP","DRSP","O","EURONEXT  UK - REPORTING SERVICES","","LONDON","WWW.EURONEXT.COM","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2021","APPROVED PUBLICATION ARRANGEMENT."
"CANADA","CA","XCNQ","XCNQ","O","CANADIAN SECURITIES EXCHANGE","CSE LISTED","TORONTO","WWW.THECSE.COM","SEPTEMBER 2021","ACTIVE","APRIL 2009","FORMERLY KNOWN AS PURE (CSE OTHER LISTED) FORMERLY KNOWN AS THE CANADIAN NATIONAL STOCK EXCHANGE (CNSX)."
"CANADA","CA","PURE","XCNQ","S","CANADIAN SECURITIES EXCHANGE - PURE","CSE-PURE","TORONTO","WWW.THECSE.COM","SEPTEMBER 2021","ACTIVE","DECEMBER 2006","FORMERLY KNOWN AS PURE (CSE OTHER LISTED) FORMERLY KNOWN AS THE CANADIAN NATIONAL STOCK EXCHANGE (CNSX)."
"UNITED KINGDOM","GB","ZODM","ZODM","O","ZODIA MARKETS","","LONDON","WWW.ZODIA-MARKETS.COM","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2021","CRYPTOASSET BROKERAGE AND EXCHANGE."
"UNITED STATES OF AMERICA","US","FNFX","BGCF","S","FENICS FX ECN","","NEW YORK","WWW.FENICSFX.COM","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2021","ELECTRONIC COMMUNICATIONS NETWORK."
"NORWAY","NO","NORX","NORX","O","NASDAQ OSLO ASA","","OSLO","WWW.NASDAQ.COM/SOLUTIONS/EUROPEAN-COMMODITIES","SEPTEMBER 2021","ACTIVE","MAY 2011",""
"SPAIN","ES","POSE","POSE","O","PORTFOLIO STOCK EXCHANGE","","MADRID","WWW.PORTFOLIO.EXCHANGE","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2021","MULTILATERAL TRADING FACILITY."
"UNITED STATES OF AMERICA","US","PUND","PUND","O","PUNDION LLC","","NEW YORK","WWW.PUNDION.COM","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2021","EQUITY PRODUCTS."
"BULGARIA","BG","UCBG","UCBG","O","UNICREDIT BULBANK AD - SYSTEMATIC INTERNALISER","","SOFIA","WWW.UNICREDITBULBANK.BG","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2021","SYSTEMATIC INTERNALISER."
"AUSTRALIA","AU","NZFX","XASX","S","ASX - NEW ZEALAND FUTURES & OPTIONS","ASX","SYDNEY","WWW.ASX.COM.AU","SEPTEMBER 2021","ACTIVE","SEPTEMBER 2007",""
"SINGAPORE","SG","BBLX","BBLX","O","BONDBLOX EXCHANGE","BBX","SINGAPORE","WWW.BONDBLOX.COM","AUGUST 2021","ACTIVE","AUGUST 2021",""
"HONG KONG","HK","BACR","BAIP","S","BANK OF AMERICA SECURITIES - CENTRAL RISK","","HONG KONG","WWW.BOFAML.COM","JULY 2021","ACTIVE","JULY 2021",""
"RUSSIA","RU","SPBE","SPBE","O","SPB EXCHANGE - ALL MARKETS","SPB","MOSCOW","HTTPS://SPBEXCHANGE.RU","JULY 2021","ACTIVE","MARCH 2021","SHARES, DEPOSITARY RECEIPTS, GOVERNMENT BONDS, STRUCTURED FINANCE PRODUCTS, SPOT COMMODITIES."
"UNITED STATES OF AMERICA","US","OTCM","OTCM","O","OTC LINK ATS - OTC MARKETS","","NEW YORK","WWW.OTCMARKETS.COM","JULY 2021","ACTIVE","MAY 2012","OPERATIONAL MIC FOR OTC MARKETS."
"GERMANY","DE","STUF","XSTU","S","BOERSE STUTTGART - FREIVERKEHR - TECHNICAL PLATFORM 3","","STUTTGART","WWW.BOERSE-STUTTGART.DE","JULY 2021","ACTIVE","JULY 2021",""
"GERMANY","DE","XSTP","XSTU","S","BOERSE STUTTGART - TECHNICAL PLATFORM 3","","STUTTGART","WWW.BOERSE-STUTTGART.DE","JULY 2021","ACTIVE","JULY 2021",""
"GERMANY","DE","STUE","XSTU","S","BOERSE STUTTGART - REGULIERTER MARKT - TECHNICAL PLATFORM 3","","STUTTGART","WWW.BOERSE-STUTTGART.DE","JULY 2021","ACTIVE","JULY 2021",""
"UNITED STATES OF AMERICA","US","FREX","FREX","O","COINBASE DERIVATIVES","CDE","CHICAGO","WWW.COINBASE.COM/DERIVATIVES","AUGUST 2022","MODIFIED","OCTOBER 2020",""
"ITALY","IT","HCER","HMTF","S","HI-CERT - MULTILATERAL TRADING FACILITY","","MILANO","WWW.HIMTF.COM","JUNE 2021","ACTIVE","JULY 2020","MTF FOR CERTIFICATES AND COVERED WARRANT."
"UNITED STATES OF AMERICA","US","IDXM","IDXM","O","IDX MARKETS, LLC","","NEW YORK","WWW.IDXMARKETS.COM","JUNE 2021","ACTIVE","JUNE 2021","REGISTERED ALTERNATIVE TRADING SYSTEM (ATS) FOR FIXED INCOME STRUCTURED PRODUCTS."
"PORTUGAL","PT","MBCP","MBCP","O","MILLENNIUM BCP-SYSTEMATIC INTERNALISER","MILLENNIUMBCP","PORTO","HTTPS://IND.MILLENNIUMBCP.PT/PT/PARTICULARES/PAGES/WELCOME.ASPX","JUNE 2021","ACTIVE","JUNE 2021","SYSTEMATIC INTERNALISER IN FX DERIVATIVES AND STRUCTURED PRODUCTS."
"BULGARIA","BG","GMBG","MBUL","S","MTF SOFIA - GROWTH MARKET","","SOFIA","WWW.CAPMAN.BG","JUNE 2021","ACTIVE","JUNE 2021",""
"UNITED STATES OF AMERICA","US","OCEA","OCEA","O","BLUE OCEAN ALTERNATIVE TRADING SYSTEM","BOATS","SEA GIRT","WWW.BLUEOCEANATS.COM","JUNE 2021","ACTIVE","JUNE 2021","BLUE OCEAN ATS, LLC IS A US REGISTERED BROKER DEALER (CRD #306512) AND OPERATOR OF AN ALTERNATIVE TRADING SYSTEM (ATS)."
"HONG KONG","HK","OSDS","OSDS","O","OSL DIGITAL SECURITIES EXCHANGE","OSLDS","HONG KONG","HTTPS://OSL.COM/EN/HOME","JUNE 2021","ACTIVE","JUNE 2021","OSL DIGITAL SECURITIES - ASIA'S LEADING DIGITAL ASSET PLATFORM."
"SINGAPORE","SG","OSSG","OSSG","O","OSL SG EXCHANGES","OSLSG","SINGAPORE","WWW.SG.OSL.COM","JUNE 2021","ACTIVE","JUNE 2021","ASIA LEADING DIGITAL ASSET PLATFORM - OSL SG EXCHANGES."
"THE NETHERLANDS","NL","RR4G","RR4G","O","ROUTE4GAS","R4G","AMSTERDAM","HTTPS://ROUTE4GAS.COM/INFO/","JUNE 2021","ACTIVE","JUNE 2021",""
